date, name, size, price_per_unit, price, details_page, kosher, local, organic, peanut_free, lactose_free, vegan, vegetarian, sku
"2023-03-27", "Just Us! Organic Ground Coffee French Roast 340 g", "340g", "($4.26 per 100g)", "$14.49", "https://voila.ca/products/450536EA/details", "False", "False", "False", "False", "False", "False", "False", "450536EA"
"2023-03-27", "Lavazza Organic Ground Coffee Itierra Amazonia Medium 300 g", "300g", "($4.60 per 100g)", "$13.79", "https://voila.ca/products/805555EA/details", "False", "False", "True", "False", "False", "False", "False", "805555EA"
"2023-03-27", "Just Us! Organic Ground Coffee Italian 907 g", "907g", "($3.25 per 100g)", "$29.49", "https://voila.ca/products/438238EA/details", "False", "False", "True", "False", "False", "False", "False", "438238EA"
"2023-03-27", "Best Buy Ground Coffee Dark Roast 925 g", "925g", "($0.86 per 100g)", "$7.99", "https://voila.ca/products/521211EA/details", "True", "False", "False", "False", "False", "False", "False", "521211EA"
"2023-03-27", "Just Us! Organic Ground Coffee Tierra Madre Mexican 340 g", "340g", "($4.26 per 100g)", "$14.49", "https://voila.ca/products/450522EA/details", "False", "False", "False", "False", "False", "False", "False", "450522EA"
"2023-03-27", "Best Buy Ground Coffee Medium Roast 925 g", "925g", "($0.86 per 100g)", "$7.99", "https://voila.ca/products/521203EA/details", "True", "False", "False", "False", "False", "False", "False", "521203EA"
"2023-03-27", "Kraft Café Ground Coffee Barista Chocolate Hazelnut 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/991009EA/details", "False", "False", "False", "False", "False", "False", "False", "991009EA"
"2023-03-27", "Kraft Café Ground Coffee Barista Salted Caramel 340 g", "340g", "($3.23 per 100g)", "$10.99", "https://voila.ca/products/989584EA/details", "False", "False", "False", "False", "False", "False", "False", "989584EA"
"2023-03-27", "Just Us! Organic Ground Coffee Italian Roast 340 g", "340g", "($4.26 per 100g)", "$14.49", "https://voila.ca/products/450541EA/details", "False", "False", "True", "False", "False", "False", "False", "450541EA"
"2023-03-27", "Just Us! Organic Ground Coffee Colombian 340 g", "340g", "($4.26 per 100g)", "$14.49", "https://voila.ca/products/450531EA/details", "False", "False", "True", "False", "False", "False", "False", "450531EA"
"2023-03-27", "Kicking Horse Ground Coffee Lucky Jim Medium 284 g", "284g", "($4.93 per 100g)", "$13.99", "https://voila.ca/products/785268EA/details", "False", "False", "False", "False", "False", "False", "False", "785268EA"
"2023-03-27", "Just Us! Ground Coffee Dark Jungle Blend 340 g", "340g", "($4.26 per 100g)", "$14.49", "https://voila.ca/products/450521EA/details", "False", "False", "False", "False", "False", "False", "False", "450521EA"
"2023-03-27", "Just Us! Organic Ground Coffee French Roast 907 g", "907g", "($3.25 per 100g)", "$29.49", "https://voila.ca/products/438244EA/details", "False", "False", "True", "False", "False", "False", "False", "438244EA"
"2023-03-27", "Van Houtte Light Roast Ground Coffee Armaretto 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/681124EA/details", "False", "False", "False", "False", "False", "False", "False", "681124EA"
"2023-03-27", "Just Us! Organic Ground Coffee Rise Again 340 g", "340g", "($4.26 per 100g)", "$14.49", "https://voila.ca/products/450544EA/details", "False", "False", "False", "False", "False", "False", "False", "450544EA"
"2023-03-27", "Maxwell House Ground Coffee Rich Dark Roast 900 g", "900g", "($1.44 per 100g)", "$12.99", "https://voila.ca/products/978362EA/details", "False", "False", "False", "False", "False", "False", "False", "978362EA"
"2023-03-27", "Maxwell House Ground Coffee Rich Breakfast Blend 900 g", "900g", "($1.44 per 100g)", "$12.99", "https://voila.ca/products/978363EA/details", "False", "False", "False", "False", "False", "False", "False", "978363EA"
"2023-03-27", "Van Houtte Ground Coffee Colombian Medium Roast 908 g", "908g", "($2.59 per 100g)", "$23.49", "https://voila.ca/products/281463EA/details", "False", "False", "False", "False", "False", "False", "False", "281463EA"
"2023-03-27", "McCafé Organic High Grown Ground Coffee Dark Roast 300 g", "300g", "($4.66 per 100g)", "$13.99", "https://voila.ca/products/977487EA/details", "False", "False", "True", "False", "False", "False", "False", "977487EA"
"2023-03-27", "Tim Hortons Ground Coffee Maple Medium Roast 300 g", "300g", "($3.66 per 100g)", "$10.99", "https://voila.ca/products/855648EA/details", "False", "False", "False", "False", "False", "False", "False", "855648EA"
"2023-03-27", "LaVazza Organic Ground Coffee Tierra Mild & Fruity 300 g", "300g", "($4.60 per 100g)", "$13.79", "https://voila.ca/products/805615EA/details", "False", "False", "True", "False", "False", "False", "False", "805615EA"
"2023-03-27", "Van Houtte Ground Coffee Dulce Leche Light Roast 340 g", "340g", "($3.76 per 100g)", "$12.79", "https://voila.ca/products/968423EA/details", "False", "False", "False", "False", "False", "False", "False", "968423EA"
"2023-03-27", "Tim Hortons Ground Coffee Decaf Roast Medium 640 g", "640g", "($3.98 per 100g)", "$25.49", "https://voila.ca/products/955652EA/details", "False", "False", "False", "False", "False", "False", "False", "955652EA"
